"name","type","betweenness","closeness","pagerank"
"IGLV5_37","TF",0,0.5,0.00984251968503937
"LHX2","TF",0,0.333333333333333,0.00984251968503937
"MEF2C","TF",0,0.5,0.00984251968503937
"MYOCD","TF",0,0.25,0.00984251968503937
"MZF1","TF",0,0.111111111111111,0.00984251968503937
"NOTCH3","TF",0,1,0.00984251968503937
"PAX3","TF",0,0.2,0.00984251968503937
"RYBP","TF",0,0.166666666666667,0.00984251968503937
"SUPT16H","TF",0,0.166666666666667,0.00984251968503937
"TFEB","TF",0,0.5,0.00984251968503937
"ZNF224","TF",0,0.25,0.00984251968503937
"ZNF22","TF",0,0.25,0.00984251968503937
"ZNF513","TF",0,0.2,0.00984251968503937
"ZNF549","TF",0,0.5,0.00984251968503937
"ZNF92","TF",0,0.25,0.00984251968503937
